,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
47,20,riot,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
51,21,riot,0.03418803418803419,0.1452991452991453,0.0,0.7074307300757611,0.015755624239731144,0.3690378284790013,0.4509174837507246,-1
53,22,riot,0.008547008547008548,0.05128205128205129,0.0,0.12957547867991828,8.97337098320508e-07,0.5,0.5,-1
55,23,riot,0.017094017094017096,0.23076923076923078,0.004273504273504274,0.13578883501642755,1.794674196641016e-07,0.3333333333333333,0.4714045207910317,-1
59,24,riot,0.017094017094017096,0.03418803418803419,0.004273504273504274,0.1965079031606267,3.589348393282032e-06,0.4166666666666667,0.42491829279939874,-1
62,25,riot,0.017094017094017096,0.1623931623931624,0.0,0.08175302483242448,1.794674196641016e-07,0.3333333333333333,0.4714045207910317,-1
64,26,riot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
66,27,riot,0.07692307692307693,0.3162393162393163,0.003663003663003664,0.20619723885222385,1.2562719376487113e-06,0.32857142857142857,0.31975756122284843,-1
68,28,riot,0.11965811965811968,0.3247863247863248,0.004273504273504274,0.19436321801987744,5.384022589923049e-07,0.26666666666666666,0.3030707043774635,-1
70,29,riot,0.1452991452991453,0.3162393162393163,0.008547008547008548,0.25767657202194105,1.6152067769769145e-06,0.3765432098765432,0.29429623311259795,-1
